program,chain_id,round_id,type,chain_name,round_name,matching_pool,starting_time,ending_time,round_number
GG20,42161,27,program,ARB,Developer Tooling,300000,4/23/2024 12:00,5/7/2024 23:59,20
GG20,42161,26,program,ARB,Web3 Infrastructure,300000,4/23/2024 12:00:00,5/7/2024 23:59,20
GG20,42161,25,program,ARB,dApps & Apps,300000,4/23/2024 12:00,5/7/2024 23:59,20
GG20,42161,23,program,ARB,Hackathon Alumni,100000,4/23/2024 12:00,5/7/2024 23:59,20
GG20,42161,24,community,ARB,ENS ,100000,4/23/2024 12:00,5/7/2024 23:59,20
GG20,10,9,community,OP,TEC,50000,4/23/2024 12:00,5/7/2024 23:59,20
GG20,42161,31,community,ARB,Open Civics,41000,4/23/2024 12:00,5/7/2024 23:59,20
GG20,42161,29,community,ARB,Climate Solutions,300000,4/23/2024 12:00,5/7/2024 23:59,20
GG20,42161,28,community,ARB,Hypercerts Ecosystem,35000,4/23/2024 12:00,5/7/2024 23:59,20
GG20,42161,36,independent,ARB,Regenerative Land Projects,96000,4/23/2024 12:00,5/7/2024 23:59,20
GG20,42161,39,independent,ARB,DeSci (Decentralized Science),25000,4/23/2024 0:00,5/7/2024 23:59,20
GG19,137,0xa1D52F9b5339792651861329A046dD912761E9A9,program,MATIC,Ethereum Infrastructure,200000,11/15/2023 12:00,11/29/2023 23:59,19
GG19,424,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29,program,PGN,Web3 Community and Education,200000,11/15/2023 12:00,11/29/2023 23:59,19
GG19,424,0xd4CC0dd193c7DC1d665AE244cE12D7FAB337a008,program,PGN,Web3 Open Source Software,200000,11/15/2023 12:00,11/29/2023 23:59,19
GG19,10,0x5eB890e41c8D2cFF75ea942085E406bB90016561,community,OP,Climate Solutions,150000,11/15/2023 12:00,11/29/2023 23:59,19
GG19,42161,0x0F0b9d9F72C1660905C57864e79CeB409ADa0C9e,community,ARB,TEC,50000,11/15/2023 12:00,11/29/2023 12:59,19
GG19,424,0xE60A569eC8aac2045d9fda306DC2a16CC1e52a90,community,PGN,Open Civics,25000,11/15/2023 12:00,11/29/2023 0:00,19
GG19,10,0x6726FE9C89fb04eAEf388C11cF55Be6AA0a62fb9,community,OP,GCC,30000,11/15/2023 12:00,11/29/2023 23:59,19
