chain_id,token,token_symbol
10,0x0000000000000000000000000000000000000000,ETH
10,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1,DAI
424,0x0000000000000000000000000000000000000000,ETH
424,0x6C121674ba6736644A7e73A8741407fE8a5eE5BA,DAI
137,0x0000000000000000000000000000000000000000,MATIC
137,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,USDC
42161,0x912CE59144191C1204E64559FE8253a0e49E6548,ARB
42161,0x0000000000000000000000000000000000000000,ETH
42161,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,USDC
1,0x0000000000000000000000000000000000000000,ETH
